Year,Class,Event,Name,School,Mark,Tie
1924,Open,Long Jump,"McGauley, W.D.",Metter,21-1,
1924,Open,Pole Vault,"Copeland, Perry",Carrollton,3-Nov,
1924,Open,Relay--Half Mile,,4th District,,
1924,Open,Shot Put,"Hull,",Rome,44-11,
1925,Open,100yd Dash,"Yarbrough, Millard",Darlington,10.4,
1925,Open,120yd Low Hurdles,"Paris, Tom",Gainesville,,
1925,Open,220yd Dash,"Tillery, James",Metter,23.8,
1925,Open,440yd Dash,"Cook, V.W.",Tech High,,
1925,Open,High Jump,"Hills, R.A.",Tech High,9-May,
1925,Open,Long Jump,"Carnes, Geroge",Tech High,,
1925,Open,Pole Vault,"Bird, A.J.",Metter,6-Nov,
1925,Open,Relay--Half Mile,,Tech High,,
1925,Open,Shot Put,"Nixon, Fred",Newnan,45-5,
1926,Open,100yd Dash,"Therrell, F",Tech High,,
1926,Open,120yd Low Hurdles,"Eubanks,",Rome,,
1926,Open,220yd Dash,"Cook, V.W.",Tech High,,
1926,Open,440yd Dash,"Therrell, F",Tech High,,
1926,Open,High Jump,"Coker,",Canton,,
1926,Open,Long Jump,"Battle, Harry",Tech High,,
1926,Open,Pole Vault,"Miller,",Fitzgerald,,
1926,Open,Relay--Half Mile,,Tech High,,
1926,Open,Shot Put,"Bell,",Carrollton,,
1927,Open,100yd Dash,"Newman,",Newnan,,
1927,Open,120yd Low Hurdles,"Brady,",Tech High,,
1927,Open,220yd Dash,"Schwitzerlit, F",Augusta,,
1927,Open,440yd Dash,"Groves, C",Lincolnton,,
1927,Open,Discus,"Dickens, M",Ocilla,,
1927,Open,High Jump,"Boston, Jack",Calhoun,,
1927,Open,Long Jump,"Dickens, M",Ocilla,,
1927,Open,Pole Vault,"Rainwater, H",Augusta,,
1927,Open,Relay--Half Mile,,Newnan,,
1927,Open,Shot Put,"Potts,",Newnan,,
1928,Open,100yd Dash,"Witcher, Raymond",Newnan,,
1928,Open,120yd Low Hurdles,"Parr, N",Winder,,
1928,Open,220yd Dash,"Jackson, D","ARC, Augusta",,
1928,Open,440yd Dash,"Bentley, J",Augusta,,
1928,Open,Discus,"Jones,",4th District,,
1928,Open,High Jump,"Wrinkle,",Tech High,,
1928,Open,Long Jump,"Johnson, J",Buford,,
1928,Open,Pole Vault,"Wrinkle,",Tech High,,
1928,Open,Relay--Half Mile,,Newnan,1:31,
1928,Open,Shot Put,"Hambrick, Jim","Carrollton, A&M",,
1929,Open,100yd Dash,"Jackson,",Richmond Aca.,10.3,
1929,Open,120yd Low Hurdles,"Barton,",Rome,17.4,
1929,Open,220yd Dash,"Kelly,",Boys' High,22.6,
1929,Open,440yd Dash,"Cobb, Ralph",Marietta,50.3,
1929,Open,Discus,"Elliott, Emmett",Boys' High,116-8.5,
1929,Open,High Jump,"Snipes, Bernard",Ellaville,6-0.5,
1929,Open,Long Jump,"Goodwin,",Douglas,20-11,
1929,Open,Pole Vault,"Ross, Loren",Spring Place,12-2.5,Tie
1929,Open,Pole Vault,"Shields, Leroy",Tech High,12-2.5,Tie
1929,Open,Relay--Half Mile,,Marietta,01:33.1,
1929,Open,Shot Put,"Jones,",Newnan,48-2,
1930,Open,100yd Dash,"Winn, J.A.",Portal,10.4,
1930,Open,120yd Low Hurdles,"Mosley,",Valdosta,15,
1930,Open,220yd Dash,"Wilcox, Burch",Monroe,23,
1930,Open,440yd Dash,"Davis,",Portal,56.8,
1930,Open,Discus,"Garbutt,",Valdosta,110-6.25,
1930,Open,High Jump,"Walker,",East Point,8-May,
1930,Open,Long Jump,"Durden,",Summit,21-4,
1930,Open,Pole Vault,"Wilkes, W",Lincolnton,8-Oct,
1930,Open,Relay--Half Mile,,Washington,01:35.0,
1930,Open,Shot Put,"Smith, Robert W.",Cartersville,43-7,
1931,Open,100yd Dash,"Thomaston, Homer",Cairo,10.4,
1931,Open,120yd Low Hurdles,"Baker,",Griffin,15,
1931,Open,220yd Dash,"Perry,",Vienna,23.3,
1931,Open,440yd Dash,"Proctor,","GMA, College Park",53,
1931,Open,Discus,"Hammond,",Lincolnton,117-4,
1931,Open,High Jump,"Arnold,",University School for Boys,9-May,
1931,Open,Long Jump,"Willcox,",Monroe,22-0,
1931,Open,Pole Vault,"Pendleton,","GMA, College Park",7-Nov,
1931,Open,Relay--760yd,,Wrens,1:26,
1931,Open,Shot Put,"Brown,",Carrollton A&M,43-8,
1932,Open,100yd Dash,"Flatau, Tobie",Tech High,10.5,
1932,Open,120yd Low Hurdles,"May,",Louisville,14.8,
1932,Open,220yd Dash,"Walker,","GMA, College Park",27.4,
1932,Open,440yd Dash,"Barron,",Boys' High,53.1,
1932,Open,Discus,"Garbutt,",Valdosta,118-1,
1932,Open,High Jump,"Hilton,",Vidalia,5-7.75,
1932,Open,Long Jump,"Perkins, Jack",Tech High,22-1.5,
1932,Open,Pole Vault,"Pendleton, C.A.","GMA, College Park",6-Nov,
1932,Open,Relay--Half Mile,,Bainbridge,01:33.4,
1932,Open,Shot Put,"Walker,","GMA, College Park",47-9,
1933,Open,100yd Dash,"Stevns, H",Boys' High,10.2,
1933,Open,120yd Low Hurdles,"Smith,",Boys' High,14.7,
1933,Open,220yd Dash,"Jarrell,",Tech High,23.6,
1933,Open,440yd Dash,"Montz,",Boys' High,53.9,
1933,Open,Discus,"Jones,",3rd District,116-3,
1933,Open,High Jump,"Bryan,",3rd District,5-10.25,
1933,Open,Long Jump,"Arnold, Monk",Boys' High,21-0.25,
1933,Open,Pole Vault,Bunch,10th District,11-7.25,
1933,Open,Relay--Half Mile,,Boys' High,01:34.7,
1933,Open,Shot Put,"Patrick,",1st District,48-4.75,
1934,A,100yd Dash,"Ward,",Boys' High,10.2,
1934,B,100yd Dash,"Robinson, Jack",Chickamauga,10,
1934,C,100yd Dash,"Williams,",Dixie,10.8,
1934,A,120yd Low Hurdles,"Arnold, Monk",Boys' High,14.3,
1934,B,120yd Low Hurdles,"Jones, Tom",Dalton,14.6,
1934,C,120yd Low Hurdles,"Mitcham,",Greenville,15,
1934,A,220yd Dash,"Ward,",Boys' High,23.3,
1934,B,220yd Dash,"Robinson, Jack",Chickamauga,23,
1934,C,220yd Dash,"Williams,",Dixie,24.3,
1934,A,440yd Dash,"Belcher,",Boys' High,52.7,
1934,B,440yd Dash,"King, Numbers",Chickamauga,54,
1934,C,440yd Dash,"Culberson, Esmond",Adairsville,53.8,
1934,A,Discus,"Farren,",Lanier,120-7.5,
1934,B,Discus,"Parks,",Pearson,118-8.5,
1934,C,Discus,"Dillard, B",Lithonia,108-3,
1934,A,High Jump,"Perry,",Boys' High,10-May,
1934,B,High Jump,"Stephens, W","ECI, Summit",Jun-00,
1934,C,High Jump,"Elrod,",Tucker,8-May,
1934,A,Long Jump,"Sutherland,",Boys' High,21-4.625,
1934,B,Long Jump,"Harris, J",Vidalia,21-3.75,
1934,C,Long Jump,"Thomas,",Boston,19-10.5,
1934,A,Pole Vault,"Shield,",Riverside,2-Oct,
1934,B,Pole Vault,"Gunby,",Wrens,4-Oct,
1934,C,Pole Vault,"Griffin,",Dixie,10-9.25,
1934,A,Relay--Half Mile,,Boys' High,01:34.6,
1934,B,Relay--Half Mile,,Cordele,01:37.7,
1934,C,Relay--Half Mile,,Trion,01:41.4,
1934,A,Shot Put,"Lumpkin, Quinton",Lanier,52-7.5,
1934,B,Shot Put,"Doss,",Tifton,48-4.375,
1934,C,Shot Put,"Garrett,",Woodbury,41-11.25,
1935,A,100yd Dash,,,,
1935,B,100yd Dash,"Kitchens,",Tifton,10.1,
1935,C,100yd Dash,"Johnson,",Grayson,10.2,
1935,A,120yd Low Hurdles,,,,
1935,B,120yd Low Hurdles,"Sears,",Tifton,14.5,
1935,C,120yd Low Hurdles,"Cousins, Roy",Greenville,16.2,
1935,A,220yd Dash,,,,
1935,B,220yd Dash,"Hughes,",Nashville,24,
1935,C,220yd Dash,"Reagin,",Lithonia,23.8,
1935,A,440yd Dash,,,,
1935,B,440yd Dash,"Swifton,",Elberton,53.2,
1935,C,440yd Dash,"Williams,",Dixie,54.8,
1935,A,Discus,,,,
1935,B,Discus,"Arrington,",Americus,113-5,
1935,C,Discus,"Garrett, Frank",Woodbury,107-0.5,
1935,A,High Jump,,,,
1935,B,High Jump,Padgett,8th District,9-May,
1935,C,High Jump,"Fowler,",Greenville,7-May,Tie
1935,C,High Jump,"Weitman,",1st District,7-May,Tie
1935,A,Long Jump,,,,
1935,B,Long Jump,"Benson,",Marietta,20-5,
1935,C,Long Jump,"Garrett, Frank",Woodbury,20-0.5,
1935,A,Pole Vault,,,,
1935,B,Pole Vault,"Andrews,",Toccoa,11-5.5,Tie
1935,B,Pole Vault,"Lanier,",Marietta,11-5.5,Tie
1935,C,Pole Vault,"Culberson,",Model,10-Oct,
1935,A,Relay--Half Mile,,,,
1935,B,Relay--Half Mile,,Athens,01:35.5,
1935,C,Relay--Half Mile,,Greenville,,
1935,A,Shot Put,,,,
1935,B,Shot Put,"Stephens,",Graymont-Summit,46-6,
1935,C,Shot Put,"Perkenson, H.W.",Greenville,40-7.5,
1936,A,100yd Dash,,,,
1936,B,100yd Dash,"Blanton,",Valdosta,10.5,
1936,C,100yd Dash,"Quarrles,",Boston,10.5,
1936,A,120yd Low Hurdles,,,,
1936,B,120yd Low Hurdles,"Joyner,",Waycross,14.9,
1936,C,120yd Low Hurdles,"Ethridge,",Greenville,16.4,
1936,A,220yd Dash,,,,
1936,B,220yd Dash,"Garnto,",Valdosta,23.5,
1936,C,220yd Dash,"Quarrles,",Boston,24.3,
1936,A,440yd Dash,,,,
1936,B,440yd Dash,"Presnell, Grover",Athens,54.9,
1936,C,440yd Dash,"Smith,",Edison,56.1,
1936,A,Discus,,,,
1936,B,Discus,"Busbee,",Ft. Valley,120-4,
1936,C,Discus,"Mays,",Louisville,96-2.5,
1936,A,High Jump,,,,
1936,B,High Jump,"Wooten,",Hazelhurst,8-May,
1936,C,High Jump,5-Way Tie,,6-May,Tie
1936,A,Long Jump,,,,
1936,B,Long Jump,"Fordham,","ECI, Graymont-Summit",21-3.5,
1936,C,Long Jump,"Culberson,",Model,19-11.5,
1936,A,Pole Vault,,,,
1936,B,Pole Vault,"Wooten,",Hazelhurst,10-Oct,
1936,C,Pole Vault,"Starr,",Greenville,Oct-00,
1936,A,Relay--Half Mile,,,,
1936,B,Relay--Half Mile,,Valdosta,1:38,
1936,C,Relay--Half Mile,,Greenville,01:42.5,
1936,A,Shot Put,,,,
1936,B,Shot Put,"Fordham,","ECI, Graymont-Summit",48-11,
1936,C,Shot Put,"Gardner,",Americus,43-2,
1937,A,100yd Dash,,,,
1937,B,100yd Dash,"Kain, Stanley",Bainbridge,10,
1937,C,100yd Dash,"Cox, Billy",Dawson,10.5,
1937,A,120yd Low Hurdles,,,,
1937,B,120yd Low Hurdles,"Harrell, Billy",Bainbridge,14.7,
1937,C,120yd Low Hurdles,"Nunn, J.B.",Maysville,16,
1937,A,220yd Dash,,,,
1937,B,220yd Dash,"Blanton, Booker",Valdosta,23.4,
1937,C,220yd Dash,"Collins, John",Hinesville,24.2,
1937,A,440yd Dash,,,,
1937,B,440yd Dash,"Dupree, William",Griffin,56,
1937,C,440yd Dash,"Ingram, James",Nelson,56.7,
1937,A,Discus,,,,
1937,B,Discus,"Killian, Joe",Canton,116-7,
1937,C,Discus,"Price,",Edison,99-10,
1937,A,High Jump,,,,
1937,B,High Jump,"Ragan, Ed",Jefferson,6-May,
1937,C,High Jump,"Brooks, Owen",Dacula,5-11.675,
1937,A,Long Jump,,,,
1937,B,Long Jump,"Kain, Stanley",Bainbridge,20-7,
1937,C,Long Jump,,,,
