Year,Class,Event,Name,School,Mark,Tie
1979,AAAA,2 Mile Run,"Shirley, Sam",Warner Robins,09:23.5,
1979,A,220yd Dash,"Walker, Herschel",Johnson Co.,22.13,
1979,AA,220yd Dash,"Tutt, Johnny",East Rome,22.29,
1979,AAA,220yd Dash,"Coleman, Tim",Waynesboro,22.51,
1979,AAAA,220yd Dash,"Floyd, Stanley",Doughtery,21.45,
1979,A,330yd Int. Hurdles,"Newsome, Greg",Feldwood,40.02,
1979,AA,330yd Int. Hurdles,"Canady, Willie","Douglass, Montz.",39.42,
1979,AAA,330yd Int. Hurdles,"Threadcraft, Joe",Early Co.,39.42,
1979,AAAA,330yd Int. Hurdles,"Williams, Johnny",Lowndes,38.92,
1979,A,440yd Dash,"Moody, Dwight",Charlton Co.,50.08,
1979,AA,440yd Dash,"Buford, Allen",Lakeshore,48.77,
1979,AAA,440yd Dash,"Meadows, Adrian",Lithonia,48.97,
1979,AAAA,440yd Dash,"Raines, Dennis",Cedar Shoals,48.69,
1979,A,880yd Run,"Evans, Frank",Greater Atl. Christian,01:59.6,
1979,AA,880yd Run,"Lawrence, Ernest",Jackson,01:58.0,
1979,AAA,880yd Run,"Sanders, Jeffrey",Lithonia,01:58.9,
1979,AAAA,880yd Run,"Raines, Dennis",Cedar Shoals,01:55.4,
1979,A,Discus,"Brantley, Bennie",Johnson Co.,144-10,
1979,AA,Discus,"Cawthon, Wally",Jackson,167-11,
1979,AAA,Discus,"Austin, Steve",Ridgeview,160-8,
1979,AAAA,Discus,"Edwards, Randy",Wheeler,164-11,
1979,A,High Jump,"Frazier, Mike",West Point,Jun-00,
1979,AA,High Jump,"Harris, Lamar",Mitchell Co.,6-8.25,
1979,AAA,High Jump,"Boykin, Arthur",Carrollton,6-Jun,
1979,AAAA,High Jump,"Reese, Mack",Westover,10-Jun,
1979,A,Long Jump,"Cantrel, David",Buford,22-5,
1979,AA,Long Jump,"Buford, Allen",Lakeshore,23-3,
1979,AAA,Long Jump,"Durham, Mike",Calhoun,22-1,
1979,AAAA,Long Jump,"Cook, Calvin","Monroe, Albany",22-8.25,
1979,A,Mile Run,"Byers, Tony",Pacelli,04:29.0,Tie
1979,A,Mile Run,"Pickhardt, Mark",Greater Atl. Christian,04:29.0,Tie
1979,AA,Mile Run,"House, Gary",Duluth,04:28.4,
1979,AAA,Mile Run,"Goode, Mike",St. Pius,04:23.7,
1979,AAAA,Mile Run,"Herd, Joey","Osborne, R.L.",04:17.5,
1979,A,Pole Vault,"Meadows, Steve",Brookstone,6-Dec,
1979,AA,Pole Vault,"Fleming, George",Reidsville,13-0,
1979,AAA,Pole Vault,"Smith, Lynn",Perry,6-Dec,
1979,AAAA,Pole Vault,"Frye, Petey",Peachtree,6-Dec,
1979,A,Relay--440yd,,Hogansville,44.46,
1979,AA,Relay--440yd,,Lakeshore,43.04,
1979,AAA,Relay--440yd,,Carrollton,43.42,
1979,AAAA,Relay--440yd,,Griffin,42.65,
1979,A,Relay--Mile,,Johnson Co.,03:28.5,
1979,AA,Relay--Mile,,Lakeshore,03:19.4,
1979,AAA,Relay--Mile,,Smith,03:23.2,
1979,AAAA,Relay--Mile,,"Northside, Atlanta",03:20.1,
1979,A,Shot Put,"Walker, Herschel",Johnson Co.,50-0.25,
1979,AA,Shot Put,"Stodgill, Tony",Jackson,54-9.75,
1979,AAA,Shot Put,"Jones, Grady",Gordon,57-8.5,
1979,AAAA,Shot Put,"Nobles, Steve",Warner Robins,59-5.5,
1979,A,Triple Jump,"Knight, Marvin",Treutlen,44-4,
1979,AA,Triple Jump,"Harris, Lamar",Mitchell Co.,46-6.25,
1979,AAA,Triple Jump,"Durham, Mike",Calhoun,46-0.75,
1979,AAAA,Triple Jump,"Gilbert, Freddie",Griffin,47-11.25,
1980,A,100yd Dash,"Walker, Herschel",Johnson Co.,10.01,
1980,AA,100yd Dash,"Shannon, Kenneth",Mary Persons,10.2,
1980,AAA,100yd Dash,"Smith, Willie",Carrollton,10.16,
1980,AAAA,100yd Dash,"Chambers, Edward",Hardaway,10.34,
1980,A,120yd High Hurdles,"Byrd, Arnold",Metter,15.37,
1980,AA,120yd High Hurdles,"Kingdom, Roger",Vienna,14.6,
1980,AAA,120yd High Hurdles,"Duffy, Howard",Smith,14.7,
1980,AAAA,120yd High Hurdles,"Davis, Ronald",Columbia,14.9,
1980,A,2 Mile Run,"Smoot, Todd",Pace Aca.,09:49.6,
1980,AA,2 Mile Run,"Benton, Jeffery",Bass,09:49.6,
1980,AAA,2 Mile Run,"Murphy, Louis",Woodward Aca.,09:30.5,
1980,AAAA,2 Mile Run,"Nordhielm, Carl",Walton,09:21.7,
1980,A,220yd Dash,"Walker, Herschel",Johnson Co.,22.19,
1980,AA,220yd Dash,"Ramsby, Michael",Price,22.81,
1980,AAA,220yd Dash,"Smith, Willie",Carrollton,22.04,
1980,AAAA,220yd Dash,"Chambers, Edward",Hardaway,22.05,
1980,A,330yd Int. Hurdles,"Byrd, Arnold",Metter,41.94,
1980,AA,330yd Int. Hurdles,"Pardue, Charles",Lovett,39.72,
1980,AAA,330yd Int. Hurdles,"Duncan, Kevin",Milton,39.77,
1980,AAAA,330yd Int. Hurdles,"Blaylock, Stanley","Northside, Atlanta",38.48,
1980,A,440yd Dash,"Moody, Dwight",Charlton Co.,51.36,
1980,AA,440yd Dash,"McKay, Antonio",Roosevelt,49.49,
1980,AAA,440yd Dash,"Sheppard, Kevin",Lithonia,50.4,
1980,AAAA,440yd Dash,"Armour, Mike",Towers,49.25,
1980,A,880yd Run,"Evans, Frank",Greater Atl. Christian,01:59.1,
1980,AA,880yd Run,"Lawrence, Ernest",Jackson,1:53,
1980,AAA,880yd Run,"Meredith, John",St. Pius,01:59.5,
1980,AAAA,880yd Run,"Strahl, David",Tucker,01:53.3,
1980,A,Discus,"Robinson, Donald",ECI,140-6,
1980,AA,Discus,"Kingdom, Roger",Vienna,148-1,
1980,AAA,Discus,"Taylor, Robin",Parkview,166-9,
1980,AAAA,Discus,"Scandrett, David",North Cobb,172-7,
1980,A,High Jump,"Gibbs, Kirt",Charlton Co.,2-Jun,
1980,AA,High Jump,"Kingdom, Roger",Vienna,9-Jun,
1980,AAA,High Jump,"Boykin, Arthur",Carrollton,6-9.5,
1980,AAAA,High Jump,"Spangler, Gregory",Stone Mountain,6-Jun,
1980,A,Long Jump,"Thompson, Victor",Johnson Co.,22-0,
1980,AA,Long Jump,"Barnes, Johnny",Hancock Central,21-6.25,
1980,AAA,Long Jump,"Winters, Jerome",Carrollton,22-1,
1980,AAAA,Long Jump,"Bates, Jeff",Butler,22-7.5,
1980,A,Mile Run,"Evans, Frank",Greater Atl. Christian,04:28.9,
1980,AA,Mile Run,"Benton, Jeffery",Bass,04:25.3,
1980,AAA,Mile Run,"Murphy, Louis",Woodward Aca.,04:24.7,
1980,AAAA,Mile Run,"Strahl, David",Tucker,04:16.7,
1980,A,Pole Vault,"Bone, Paul",Brookstone,6-Dec,
1980,AA,Pole Vault,"Moss, Mark",Headland,6-Dec,
1980,AAA,Pole Vault,"Phillips, Terry Jay",Carrollton,13-6,
1980,AAAA,Pole Vault,"Eaton, Randy",Wheeler,13-6,
1980,A,Relay--440yd,,Metter,44.12,
1980,AA,Relay--440yd,,Lakeshore,43.2,
1980,AAA,Relay--440yd,,Carrollton,42.77,
1980,AAAA,Relay--440yd,,Columbia,42.56,
1980,A,Relay--Mile,,Charlton Co.,03:23.8,
1980,AA,Relay--Mile,,Lakeshore,03:22.6,
1980,AAA,Relay--Mile,,Walker,03:25.6,
1980,AAAA,Relay--Mile,,Warner Robins,03:20.2,
1980,A,Shot Put,"Walker, Herschel",Johnson Co.,53-3.75,
1980,AA,Shot Put,"Broodwater, Marvin",Mitchell Co.,55-4.75,
1980,AAA,Shot Put,"O'Neal, Ron",Walker,55-11,
1980,AAAA,Shot Put,"Scandrett, David",North Cobb,57-11,
1980,A,Triple Jump,"Webb, Kermit",Treutlen,44-10,
1980,AA,Triple Jump,"Spence, Isiah",Mitchell Co.,46-5.75,
1980,AAA,Triple Jump,"Span, Robert",Worth Co.,46-8,
1980,AAAA,Triple Jump,"Harris, Oscar",Northeast Macon,48-2,
1981,A,100yd Dash,"Williams, Jeffrey",Metter,10.15,
1981,AA,100yd Dash,"Nicholson, Miles",Lakeshore,10.08,
1981,AAA,100yd Dash,"Browning, Sebastian",Lithonia,10.14,
1981,AAAA,100yd Dash,"Dunn, Jerry",Laney,9.91,
1981,A,120yd High Hurdles,"Byrd, Arnold",Metter,15.16,
1981,AA,120yd High Hurdles,"Kingdom, Roger",Vienna,13.7,
1981,AAA,120yd High Hurdles,"Davis, Aaron",Gordon,14.09,
1981,AAAA,120yd High Hurdles,"Blalock, Stanley","Northside, Atlanta",14.08,
1981,A,2 Mile Run,"Usry, Phillip",Wrens,10:03.7,
1981,AA,2 Mile Run,"Lail, Ray",Duluth,09:43.8,
1981,AAA,2 Mile Run,"McCrary, Reginald",Gordon,09:34.9,
1981,AAAA,2 Mile Run,"Prouty, Clinton",Riverdale,09:26.6,
1981,A,220yd Dash,"Williams, Jeffrey",Metter,22.43,
1981,AA,220yd Dash,"McKay, Antonio",Roosevelt,21.95,
1981,AAA,220yd Dash,"Bryant, Yura",Therrell,22.22,
1981,AAAA,220yd Dash,"Dennis, Ronnie",Griffin,21.65,
1981,A,330yd Int. Hurdles,"Byrd, Arnold",Metter,40.5,
1981,AA,330yd Int. Hurdles,"Bacon, Emory",Reidsville,39.1,
1981,AAA,330yd Int. Hurdles,"Davis, Aaron",Gordon,39.51,
1981,AAAA,330yd Int. Hurdles,"Blalock, Stanley","Northside, Atlanta",38.82,
1981,A,440yd Dash,"Murphy, Caradio",Metter,49.5,
1981,AA,440yd Dash,"McKay, Antonio",Roosevelt,47.96,
1981,AAA,440yd Dash,"Bryant, Yura",Therrell,49.01,
1981,AAAA,440yd Dash,"Johnson, Artis",Clarke Central,48.81,
1981,A,880yd Run,"Evans, Frank",Greater Atl. Christian,01:57.3,
1981,AA,880yd Run,"Monds, David",Brooks Co.,01:55.6,
1981,AAA,880yd Run,"Kitchens, Deanie",Jones Co.,01:55.7,
1981,AAAA,880yd Run,"Johnson, Artis",Clarke Central,01:54.1,
1981,A,Discus,"Horton, Andy",Bremen,142-10,
1981,AA,Discus,"Kingdom, Roger",Vienna,164-3,
1981,AAA,Discus,"Arnold, Marvin",Columbia,162-1,
1981,AAAA,Discus,"Roper, Todd",South Gwinnett,153-1,
1981,A,High Jump,"Williams, John",West Point,4-Jun,
1981,AA,High Jump,"Kingdom, Roger",Vienna,6-10.25,
1981,AAA,High Jump,"Boykin, Arthur",Carrollton,6-10.5,
1981,AAAA,High Jump,"Thompson, Scott",Parkview,8-Jun,
1981,A,Long Jump,"Lawson, Ronnie",Unadilla,22-0.75,
1981,AA,Long Jump,"West, Lamar",Cartersville,22-10.25,
1981,AAA,Long Jump,"Winters, Jerome",Carrollton,23-8,
1981,AAAA,Long Jump,"Emory, Larry",Northeast Macon,23-0.25,
1981,A,Mile Run,"Evans, Frank",Greater Atl. Christian,04:34.6,
1981,AA,Mile Run,"Monds, David",Brooks Co.,04:31.4,
1981,AAA,Mile Run,"Nelson, Alvin",Waycross,04:21.5,
1981,AAAA,Mile Run,"Prouty, Clinton",Riverdale,04:21.0,
1981,A,Pole Vault,"Arvidsson, Jan",Charlton Co.,14-1.25,
1981,AA,Pole Vault,"Bowen, Scott",Headland,6-Dec,
1981,AAA,Pole Vault,"Ward, Cliff",Fitzgerald,14-0,
1981,AAAA,Pole Vault,"Eaton, Randy",Wheeler,13-6,
1981,A,Relay--440yd,,Metter,43.69,
1981,AA,Relay--440yd,,Vienna,43.28,
1981,AAA,Relay--440yd,,Columbia,42.48,
1981,AAAA,Relay--440yd,,Griffin,42.1,
1981,A,Relay--Mile,,Greater Atl. Christian,03:26.6,
1981,AA,Relay--Mile,,Roosevelt,03:20.7,
1981,AAA,Relay--Mile,,Columbia,03:20.6,
1981,AAAA,Relay--Mile,,Griffin,03:17.6,
1981,A,Shot Put,"Killorin, Joe",Greater Atl. Christian,47-5.25,
1981,AA,Shot Put,"Clayton, Earl",Mitchell Co.,52-9.75,
1981,AAA,Shot Put,"Graves, Rory",Columbia,56-3.25,
1981,AAAA,Shot Put,"Wallace, Leon",Statesboro,52-7.25,
1981,A,Triple Jump,"Moon, Alfred",Galloway,44-8.25,
1981,AA,Triple Jump,"Williams, Carl",Westwood,47-7,
1981,AAA,Triple Jump,"Span, Robert",Worth Co.,47-11.5,
1981,AAAA,Triple Jump,"Harris, Oscar",Northeast Macon,49-3.5,
1982,A,100yd Dash,"Woodruff, Arthez",Heard Co.,10.22,
1982,AA,100yd Dash,"McDowell, John",Pike Co.,9.94,
1982,AAA,100yd Dash,"Jessie, Neal",Americus,9.92,
1982,AAAA,100yd Dash,"Graddy, Samuel","Northside, Atlanta",9.61,
1982,A,120yd High Hurdles,"Halorday, Steve",Bremen,15.3,
1982,AA,120yd High Hurdles,"Hodges, Bruce",Mitchell Co.,14.9,
1982,AAA,120yd High Hurdles,"Davis, Vinson",Columbia,14.5,
1982,AAAA,120yd High Hurdles,"Blakeney, Emanuel","Northside, Atlanta",14.1,
1982,A,2 Mile Run,"Usry, Phillip",Wrens,9:54,
1982,AA,2 Mile Run,"Gunnells, Phillip",West Rome,09:51.4,
1982,AAA,2 Mile Run,"Murphy, Louis",Woodward Aca.,09:15.8,
1982,AAAA,2 Mile Run,"DeSantis, Mike",Peachtree,09:17.6,
1982,A,220yd Dash,"Sorrells, Tyrone",Buford,22.92,
1982,AA,220yd Dash,"McKay, Antonio",Roosevelt,21.56,
1982,AAA,220yd Dash,"Winters, Jerome",Carrollton,21.7,
1982,AAAA,220yd Dash,"Graddy, Samuel","Northside, Atlanta",21.49,
1982,A,330yd Int. Hurdles,"Sheppard, Nathan",Savannah Country Day,40.96,
1982,AA,330yd Int. Hurdles,"Portis, Dion",Briarwood,39.4,
1982,AAA,330yd Int. Hurdles,"Davis, Vinson",Columbia,38.67,
1982,AAAA,330yd Int. Hurdles,"Blalock, Stanley","Northside, Atlanta",38.22,
1982,A,440yd Dash,"Neally, Andrea",ECI,50.14,
1982,AA,440yd Dash,"McKay, Antonio",Roosevelt,47.28,
1982,AAA,440yd Dash,"Bryant, Yura",Therrell,48.3,
1982,AAAA,440yd Dash,"Blalock, Stanley","Northside, Atlanta",47.77,
1982,A,880yd Run,"Guynes, Greg",Paideia,02:00.0,
1982,AA,880yd Run,"Mitchell, Stephon",Headland,01:56.1,
1982,AAA,880yd Run,"Parrish, Robert",Swainsboro,01:55.3,
1982,AAAA,880yd Run,"Safford, Carl",Butler,01:55.0,
1982,A,Discus,"Poppell, Gary",Whigham,149-7,
1982,AA,Discus,"Daniels, Antoine",West Rome,157-7,
1982,AAA,Discus,"Perry, Victor",Fitzgerald,163-7,
1982,AAAA,Discus,"Thomas, John",Northeast,155-2,
1982,A,High Jump,"Williams, John",West Point,2-Jun,
1982,AA,High Jump,"Stafford, Greg",Claxton,6-Jun,
1982,AAA,High Jump,"Wilbanks, Skipper",Ringgold,1-Jul,
1982,AAAA,High Jump,"Edwards, Dothel",Cedar Shoals,6-10.25,Tie
1982,AAAA,High Jump,"Vaughn, Randolph",Griffin,6-10.25,Tie
1982,A,Long Jump,"Holloway, David",Metter,21-10.5,
1982,AA,Long Jump,"Robinson, Km",Lyons,22-6,
1982,AAA,Long Jump,"Winters, Jerome",Carrollton,23-5.75,
1982,AAAA,Long Jump,"Bryant, Ed",Sprayberry,23-3.5,
1982,A,Mile Run,"Guynes, Greg",Paideia,04:31.5,
1982,AA,Mile Run,"Mitchell, Stephon",Headland,04:26.6,
1982,AAA,Mile Run,"Murphy, Louis",Woodward Aca.,04:22.4,
1982,AAAA,Mile Run,"Drosky, Alan",Riverdale,04:14.8,
1982,A,Pole Vault,"Fields, Sonny",Savannah Country Day,Nov-00,
1982,AA,Pole Vault,"Bowen, Scott",Headland,13-0,
1982,AAA,Pole Vault,"Morrow, Jon",Carrollton,14-0,
1982,AAAA,Pole Vault,"Williams, Tim",Pebblebrook,13-6,
1982,A,Relay--440yd,,Buford,43.85,
1982,AA,Relay--440yd,,Briarwood,43.2,
1982,AAA,Relay--440yd,,Carrollton,41.66,
1982,AAAA,Relay--440yd,,"Northside, Atlanta",41.41,
1982,A,Relay--Mile,,ECI,03:29.0,
1982,AA,Relay--Mile,,Irwin Co.,03:22.4,
1982,AAA,Relay--Mile,,Columbia,03:17.9,
1982,AAAA,Relay--Mile,,Griffin,03:17.1,
1982,A,Shot Put,"Poppell, Gary",Whigham,53-9.5,
1982,AA,Shot Put,"Jackson, Lawrence",North Fulton,56-3.5,
1982,AAA,Shot Put,"Tift, Andre",Worth Co.,54-5.5,
1982,AAAA,Shot Put,"Hill, Willie",Tift Co.,54-5.5,
1982,A,Triple Jump,"Barlow, Michael",Metter,45-6.5,
1982,AA,Triple Jump,"Windemon, Tommy",Headland,47-5.75,
1982,AAA,Triple Jump,"Hicks, Steve",Carrollton,47-4.75,
1982,AAAA,Triple Jump,"Thomas, Albert",Southwest,48-2.5,
1983,A,100yd Dash,"Williams, Gregg",Metter,10.04,
1983,AA,100yd Dash,"McDowell, John",Pike Co.,9.89,
1983,AAA,100yd Dash,"Bryant, Phillip",Bainbridge,10.01,
1983,AAAA,100yd Dash,"Moses, Greg",Clarke Central,9.78,
1983,A,120yd High Hurdles,"McCray, Hosea",Metter,14.69,
1983,AA,120yd High Hurdles,"Bohannon, Bobby",East,15.04,
1983,AAA,120yd High Hurdles,"Browning, Marcus",Lithonia,14.13,
1983,AAAA,120yd High Hurdles,"Davis, Vinson",Columbia,14.07,
1983,A,2 Mile Run,"Greer, Wesley",Dawson Co.,10:03.0,
1983,AA,2 Mile Run,"Bacon, Carey",Claxton,09:42.9,
1983,AAA,2 Mile Run,"Flack, James",Gordon,09:30.7,
1983,AAAA,2 Mile Run,"Thompson, Dean",Riverdale,09:31.8,
1983,A,220yd Dash,"Robinson, Archie",Calhoun Co.,22.08,
1983,AA,220yd Dash,"McDowell, John",Pike Co.,21.95,
1983,AAA,220yd Dash,"Bryant, Phillip",Bainbridge,22.24,
1983,AAAA,220yd Dash,"Moses, Greg",Clarke Central,21.62,
1983,A,330yd Int. Hurdles,"McCray, Hosea",Metter,39.4,
1983,AA,330yd Int. Hurdles,"Kingdom, Robert",Dooly Co.,39.23,
1983,AAA,330yd Int. Hurdles,"Blakeney, Emanuel","Northside, Atlanta",38.2,
1983,AAAA,330yd Int. Hurdles,"Davis, Vinson",Columbia,37.95,
1983,A,440yd Dash,"Robinson, Archie",Calhoun Co.,49.15,
1983,AA,440yd Dash,"Griggs, Harold",Putnam Co.,49.66,
1983,AAA,440yd Dash,"Heard, Bernard",Woodland,49.32,
1983,AAAA,440yd Dash,"Kendrick, Reginald",Albany,48.35,
1983,A,880yd Run,"Isaac, Anthony",Treutlen,02:01.1,
1983,AA,880yd Run,"Randolph, Sedrick",Brooks Co.,01:56.2,
1983,AAA,880yd Run,"Lewis, Tony",Gordon,01:58.3,
1983,AAAA,880yd Run,"Kurilec, Ken",Walton,01:55.5,
1983,A,Discus,"Hardman, James",Jefferson,146-3,
1983,AA,Discus,"Floyd, Eric",West Rome,155-8,
1983,AAA,Discus,"Ragin, Thomas",Perry,162-10,
1983,AAAA,Discus,"Hill, Nate",LaGrange,157-8,
1983,A,High Jump,"Brown, Willie",Ga. School for the Deaf,4-Jun,
1983,AA,High Jump,"Stafford, Greg",Clayton,8-Jun,
1983,AAA,High Jump,"Musselwhite, Craig",Carrollton,10-Jun,
1983,AAAA,High Jump,"Edwards, Dothel",Cedar Shoals,7-3.5,
1983,A,Long Jump,"Sharpe, Sterling",Glennville,23-6,
1983,AA,Long Jump,"Parks, Terrance",Central Carrollton,23-7.25,
1983,AAA,Long Jump,"Sanford, Dexter",Washington Co.,22-6.25,
1983,AAAA,Long Jump,"Brooks, Hubert",Columbia,23-4.5,
1983,A,Mile Run,"Greer, Wesley",Dawson Co.,04:34.0,
1983,AA,Mile Run,"Bacon, Carey",Claxton,04:25.3,
1983,AAA,Mile Run,"Flack, James",Gordon,04:21.0,
1983,AAAA,Mile Run,"Thompson, Dean",Riverdale,04:20.5,
1983,A,Pole Vault,"Mobley, Mark",Jefferson,Dec-00,
1983,AA,Pole Vault,"McLinskey, Kenneth",Feldwood,Dec-00,
1983,AAA,Pole Vault,"Deen, Lester",Carrollton,13-6,
1983,AAAA,Pole Vault,"Lindsey, Ray","Northside, WR",13-0,
1983,A,Relay--440yd,,Arnold,43,
1983,AA,Relay--440yd,,Pike Co.,42.59,
1983,AAA,Relay--440yd,,Carrollton,42.73,
1983,AAAA,Relay--440yd,,Columbia,42.06,
1983,A,Relay--Mile,,Warren Co.,03:24.8,
1983,AA,Relay--Mile,,Smith,03:19.7,
1983,AAA,Relay--Mile,,Carrollton,03:21.5,
1983,AAAA,Relay--Mile,,Columbia,03:16.1,
1983,A,Shot Put,"Hardman, James",Jefferson,56-2,
1983,AA,Shot Put,"Floyd, Eric",West Rome,53-5.75,
1983,AAA,Shot Put,"Morris, Ben",Clarkston,52-2.25,
1983,AAAA,Shot Put,"Lee, Ivery",Statesboro,55-6.75,
1983,A,Triple Jump,"Barlow, Michael",Metter,44-3,
1983,AA,Triple Jump,"Wise, Michah",Vidalia,46-2.75,
1983,AAA,Triple Jump,"Hicks, Steve",Carrollton,48-0.5,
1983,AAAA,Triple Jump,"Dooley, Sheldon",Therrell,47-11.75,
1984,A,100yd Dash,"Daniel, Lorenzo",Wrens,9.83,
1984,AA,100yd Dash,"Turner, Vinson",Bass,10.04,
1984,AAA,100yd Dash,"Braddy, Sidney",Washington Co.,9.89,
1984,AAAA,100yd Dash,"Moses, Greg",Clarke Central,9.74,
1984,A,120yd High Hurdles,"McCray, Josea",Metter,14.47,
1984,AA,120yd High Hurdles,"Horton, Rodney",Cedar Grove,14.41,
1984,AAA,120yd High Hurdles,"Blakeney, Emanuel","Northside, Atlanta",13.71,
1984,AAAA,120yd High Hurdles,"Grier, Arnold",Clarke Central,14.33,
1984,A,2 Mile Run,"Sweitzer, Scott",Pace Aca.,09:29.9,
1984,AA,2 Mile Run,"Rice, Mike",Feldwood,09:55.2,
1984,AAA,2 Mile Run,"Flack, James",Gordon,09:20.8,
1984,AAAA,2 Mile Run,"Ashley, Randy",Riverdale,09:30.1,
1984,A,220yd Dash,"Daniel, Lorenzo",Wrens,21.57,
1984,AA,220yd Dash,"Rowe, Jerry",Central Carrollton,22.11,
1984,AAA,220yd Dash,"Boyshaw, Greg",Chamblee,22.11,
1984,AAAA,220yd Dash,"Moses, Greg",Clarke Central,21.49,
1984,A,330yd Int. Hurdles,"Thomas, Alphonso",Glennville,38.8,
1984,AA,330yd Int. Hurdles,"Ivery, William",West Rome,39.58,
1984,AAA,330yd Int. Hurdles,"Blakeney, Emanuel","Northside, Atlanta",37.2,
1984,AAAA,330yd Int. Hurdles,"Grier, Arnold",Clarke Central,38.43,
1984,A,440yd Dash,"Moore, David",Metter,50.17,
1984,AA,440yd Dash,"Daniel, Jeffrey",Smith,49.48,
1984,AAA,440yd Dash,"Boyshaw, Greg",Chamblee,48.87,
1984,AAAA,440yd Dash,"Williams, Eugene",Warner Robins,48.44,
1984,A,880yd Run,"Isaac, Anthony",Treutlen,01:59.5,
1984,AA,880yd Run,"Buford, Edward",Westwood,01:57.4,
1984,AAA,880yd Run,"Lewis, Tony",Gordon,01:55.2,
1984,AAAA,880yd Run,"Dea, Leon",Southwest Dekalb,01:56.1,
1984,A,Discus,"Camp, Stephen",Dacula,149-11,
1984,AA,Discus,"Mote, Wayne",Villa Rica,165-2,
1984,AAA,Discus,"Berry, Hiawatha",Winder-Barrow,167-5,
1984,AAAA,Discus,"Hill, Nate",LaGrange,169-3,
1984,A,High Jump,"Hall, Terry",Dacula,4-Jun,
1984,AA,High Jump,"Monds, Calvin",Brooks Co.,6-Jun,
1984,AAA,High Jump,"Musselwhite, Craig",Carrollton,6-8.5,
1984,AAAA,High Jump,"Norman, Todd",Osborne,8-Jun,
1984,A,Long Jump,"Daniel, Lorenzo",Wrens,23-9.25,
1984,AA,Long Jump,"Parks, Terrance",Central Carrollton,23-8,
1984,AAA,Long Jump,"Mehre, Harry",Riverwood,23-1.25,
1984,AAAA,Long Jump,"Smith, Richard",Southwest Dekalb,23-6.25,
1984,A,Mile Run,"Sweitzer, Scott",Pace Aca.,04:27.1,
1984,AA,Mile Run,"Price, Jeff",Feldwood,04:25.7,
1984,AAA,Mile Run,"Flack, James",Gordon,04:20.8,
1984,AAAA,Mile Run,"Ashley, Randy",Riverdale,04:18.1,
1984,A,Pole Vault,"Cook, Mike",Jefferson,6-Nov,
1984,AA,Pole Vault,"Dukes, Jim",Brantley Co.,14-0.75,
1984,AAA,Pole Vault,"Byrd, Stoney",Winder-Barrow,14-8.5,
1984,AAAA,Pole Vault,"Haynes, Matt",Wheeler,13-6,
1984,A,Relay--440yd,,Metter,43.4,
1984,AA,Relay--440yd,,Bass,42.3,
1984,AAA,Relay--440yd,,"Northside, Atlanta",42.37,
1984,AAAA,Relay--440yd,,Columbia,42.31,
1984,A,Relay--Mile,,Wrens,03:22.7,
1984,AA,Relay--Mile,,Bass,03:22.9,Tie
1984,AA,Relay--Mile,,Brooks Co.,03:22.9,Tie
1984,AAA,Relay--Mile,,Gordon,03:16.4,
1984,AAAA,Relay--Mile,,Griffin,03:18.8,
1984,A,Shot Put,"Jacobs, Joey",Armuchee,51-8.5,
1984,AA,Shot Put,"Carwell, Lee",Reidsville,50-11,
1984,AAA,Shot Put,"Wilborn, Darryl",Gordon,52-6.5,
1984,AAAA,Shot Put,"Anderson, John",Walton,55-11.5,
1984,A,Triple Jump,"Sharpe, Sterling",Glennville,45-7.5,
1984,AA,Triple Jump,"Wise, Mike",Vidalia,47-0,
1984,AAA,Triple Jump,"Long, Frank",Walker,47-7,
1984,AAAA,Triple Jump,"Dooley, Sheldon",Therrell,47-7.5,
1985,A,100m Dash,"Rawls, Alfred",Wilcox Co.,10.73,
1985,AA,100m Dash,"Cook, Chris",Pike Co.,10.78,
1985,AAA,100m Dash,"Talton, Rodney",Peach Co.,10.85,
1985,AAAA,100m Dash,"Baldwin, Randy",Griffin,10.77,
1985,A,110m High Hurdles,"Johnson, Eddie",Reidsville,14.37,
1985,AA,110m High Hurdles,"McKennie, Tony",Collins,14.39,
1985,AAA,110m High Hurdles,"Battle, Jeffery","Northside, Atlanta",14.5,
1985,AAAA,110m High Hurdles,"Moore, Arnold","Northside, WR",14.28,
1985,A,1600m Run,"Middlebrooks, Johnny",Wilcox Co.,04:34.4,
1985,AA,1600m Run,"Armstrong, Mike",Harlem,04:27.9,
1985,AAA,1600m Run,"Flack, James",Gordon,04:12.9,
1985,AAAA,1600m Run,"Brown, Hunt",Walton,04:16.8,
1985,A,200m Dash,"Rawls, Alfred",Wilcox Co.,21.61,
1985,AA,200m Dash,"Cook, Chris",Pike Co.,21.94,
1985,AAA,200m Dash,"Favors, Ben",Walker,21.91,
1985,AAAA,200m Dash,"Raines, Derrick",Columbia,22.07,
1985,A,300m Int. Hurdles,"Thomas, Alphanzo",Glennville,39.52,
1985,AA,300m Int. Hurdles,"McKennie, Tony",Collins,37.89,
1985,AAA,300m Int. Hurdles,"Sterling, Denson",Walker,38.22,
1985,AAAA,300m Int. Hurdles,"Thomas, Kenny",Baldwin,38.26,
1985,A,3200m Run,"Wright, Wesley",Jenkins Co.,10:13.6,
1985,AA,3200m Run,"Meredith, Cleve",Lovett,09:55.3,
1985,AAA,3200m Run,"Flack, James",Gordon,09:17.2,
1985,AAAA,3200m Run,"Young, Tony",Walton,09:17.5,
